USCG Base Codes
KACV
KACY
KAST
KCRP
KDCA
KECG
KEFD
KFMH
KJZI
KMCC
KMOB
KMTC
KNBG
KNOW
KNTD
KONP
KOPF
KOTH
KPIE
KSAN
KSFO
KSVN
KTVC
KUGN
KVQQ
PACV
PADQ
PAJN
PASI
PHJR
