ZBW Base Codes
1B9
1MA2
3NK1
4B0
CT93
CT95
KALB
KART
KBAF
KBED
KBGR
KBTV
KBVY
KCEF
KFIT
KHTF
KISP
KLEW
KLWM
KMHT
KOQU
KOWD
KPSM
KPTD
KPYM
KRME
KRNT
KROC
KSFM
KSLK
KSWF
N23
N45
NH82
NY0
NY22
OG7
PS81
