hexCode,icao,callsign,callsignAbbr,tailNumber,operator,lastAirport,lastDistance,lastLat,lastLon,base,companyCode,lastSeenDate,source,notes,lastAirports
AE26B5,AS65,C6595,C6595,C6595,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,,
AE26B6,AS65,C6596,C6596,C6596,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,,
AE26B7,AS65,C6597,C6597,C6597,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,,
AE26B8,AS65,C6598,C6598,C6598,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,,
AE26B9,AS65,C6599,C6599,C6599,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,MX/Embarked? @ EC since Feb '21,
AE26BA,AS65,C6603,C6603,C6603,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,,
AE26BB,AS65,C6604,C6604,C6604,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,,
AE26BC,AS65,C6605,C6605,C6605,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,CGAS Washington 11/2023,
AE26BD,AS65,C6606,C6606,C6606,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,,
AE26BE,AS65,C6607,C6607,C6607,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,,
AE26BF,AS65,C6608,C6608,C6608,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,,
