alert,alt_baro,alt_geom,baro_rate,category,dbFlags,emergency,flight,gs,gva,hex,lat,lon,messages,mlat,nac_p,nac_v,nav_altitude_mcp,nav_heading,nav_qnh,nic,nic_baro,r,rc,rssi,sda,seen,seen_pos,sil,sil_type,spi,squawk,t,tisb,track,type,version,Closest Airport Name,Closest Airport Code,Closest Distance (nm)
0.0,-150,-50.0,-64.0,A7,1,,C6046   ,5.4,,ae4dfe,46.156082,-123.885651,1306631,[],0.0,0.0,,,,0.0,,6046,0.0,-10.1,,40.1,40.13,0.0,perhour,0.0,,H60,"['callsign', 'altitude', 'alt_geom', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",201.8,tisb_icao,,Astoria Regional Airport,KAST,0.3
0.0,75,225.0,-2176.0,A7,1,none,C6060   ,79.0,2.0,ae6cee,36.260834,-76.169533,1621354,[],11.0,1.0,,,,10.0,1.0,6060,25.0,-6.6,2.0,3.2,6.55,3.0,perhour,0.0,1200.0,H60,[],270.73,adsb_icao,2.0,Elizabeth City Regional Airport & Coast Guard Air Station,KECG,0.25
0.0,800,825.0,-640.0,A2,1,none,C2315   ,110.1,2.0,ae4bef,30.739426,-88.277084,7087732,[],10.0,1.0,1504.0,144.14,1016.8,8.0,1.0,2315,186.0,-27.8,3.0,0.6,0.92,3.0,perhour,0.0,1065.0,CN35,[],182.6,adsb_icao,2.0,Mobile Regional Airport,KMOB,3.39
0.0,1025,,-1231.0,,1,,C2314   ,165.0,,ae4bee,41.679317,-70.49015,7365025,"['callsign', 'gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0.0,,2314,0.0,-6.1,,0.2,3.03,,,0.0,4422.0,CN35,[],272.0,mlat,,Cape Cod Gateway Airport,KHYA,9.45
0.0,275,350.0,,A7,1,none,6025    ,128.6,2.0,ae2909,27.712034,-82.740891,2471096,[],11.0,1.0,,,,10.0,1.0,6025,25.0,-2.9,2.0,0.6,0.83,3.0,perhour,0.0,1200.0,H60,[],354.64,adsb_icao,2.0,St. Petersburg Clearwater International Airport,KPIE,12.19
0.0,275,325.0,,A7,1,none,C6518   ,68.2,2.0,ae266c,30.212128,-81.876152,3263393,[],11.0,1.0,,,,10.0,1.0,6518,25.0,-4.2,2.0,0.4,0.39,3.0,perhour,0.0,1200.0,AS65,[],355.79,adsb_icao,2.0,Cecil Airport,KVQQ,0.39
0.0,-100,0.0,,A7,1,,C6539   ,47.9,2.0,ae2681,30.039555,-81.686264,704219,[],11.0,1.0,,,,10.0,1.0,6539,25.0,-15.6,2.0,1.6,1.57,3.0,perhour,0.0,,AS65,[],246.64,adsb_icao,2.0,Jacksonville Naval Air Station (Towers Field),KNIP,11.75
0.0,75,225.0,,A7,1,none,C6503   ,68.6,2.0,ae265d,30.033409,-81.675163,541275,[],11.0,1.0,,,,10.0,1.0,6503,25.0,-16.2,2.0,0.3,0.31,3.0,perhour,0.0,1200.0,AS65,[],352.46,adsb_icao,2.0,Jacksonville Naval Air Station (Towers Field),KNIP,12.12
0.0,325,175.0,384.0,A7,1,none,C6026   ,62.1,2.0,ae290a,32.565125,-117.248734,5071006,[],10.0,1.0,,,,8.0,1.0,6026,186.0,-5.7,2.0,0.4,2.0,3.0,perhour,0.0,1200.0,H60,['baro_rate'],213.18,adsb_icao,2.0,North Island Naval Air Station-Halsey Field,KNZY,8.21
0.0,25000,23975.0,,A3,1,none,C2003   ,340.9,2.0,ae10e9,59.51387,-151.847351,1995456,[],10.0,2.0,,169.45,1012.8,10.0,1.0,2003,25.0,-27.7,2.0,0.1,0.17,3.0,perhour,0.0,4774.0,C30J,[],186.06,adsb_icao,2.0,Homer Airport,PAHO,13.71
0.0,2300,2425.0,,A7,1,none,C6033   ,138.0,2.0,ae2910,18.123949,-66.625702,1053790,[],10.0,1.0,,,,9.0,1.0,6033,75.0,-13.2,2.0,38.1,38.11,3.0,perhour,0.0,4420.0,H60,[],336.96,adsb_icao,2.0,Homestead ARB Airport,KHST,884.49
0.0,775,550.0,,A7,1,none,C6604   ,97.0,2.0,ae26bb,40.643314,-74.644608,5471424,[],11.0,1.0,,,,9.0,1.0,6604,75.0,-15.0,2.0,0.2,0.23,3.0,perhour,0.0,4442.0,AS65,[],181.77,adsb_icao,2.0,Morristown Municipal Airport,KMMU,14.04
,ground,,,A7,1,none,C6006   ,5.8,,ae27f7,27.913198,-82.694328,2042577,[],11.0,1.0,,,,9.0,,6006,75.0,-2.5,2.0,0.3,0.34,3.0,perhour,,112.0,H60,[],,adsb_icao,2.0,St. Petersburg Clearwater International Airport,KPIE,0.41
0.0,3050,2925.0,0.0,A3,1,none,C2009   ,172.1,2.0,ae57d3,33.438309,-117.999481,7091745,[],10.0,1.0,,,,8.0,1.0,2009,186.0,-9.9,2.0,0.0,0.32,3.0,perhour,0.0,5220.0,C30J,[],357.67,adsb_icao,2.0,John Wayne Orange County International Airport,KSNA,15.67
0.0,375,550.0,,A7,1,none,C6591   ,115.1,2.0,ae26b1,21.259476,-158.080185,3299416,[],11.0,1.0,,,,10.0,1.0,6591,25.0,-11.2,2.0,0.2,0.23,3.0,perhour,0.0,1200.0,AS65,[],352.01,adsb_icao,2.0,Kalaeloa Airport,PHJR,2.92
0.0,950,975.0,-384.0,A7,1,none,C6578   ,130.1,2.0,ae26a4,42.644459,-82.839661,6868374,[],11.0,1.0,,,,10.0,1.0,6578,25.0,-9.0,2.0,0.3,0.44,3.0,perhour,0.0,4426.0,AS65,['baro_rate'],146.92,adsb_icao,2.0,Selfridge Air National Guard Base Airport,KMTC,1.86
0.0,1850,2025.0,,A7,1,none,C6577   ,113.4,2.0,ae26a3,30.801727,-88.361694,2323458,[],11.0,1.0,,,,10.0,1.0,6577,25.0,-28.3,2.0,0.1,0.12,3.0,perhour,0.0,4665.0,AS65,[],95.06,adsb_icao,2.0,Mobile Regional Airport,KMOB,9.03
