alert,alt_baro,alt_geom,baro_rate,category,dbFlags,emergency,flight,gs,gva,hex,lat,lon,messages,mlat,nac_p,nac_v,nav_altitude_mcp,nav_heading,nav_qnh,nic,nic_baro,r,rc,rssi,sda,seen,seen_pos,sil,sil_type,spi,squawk,t,tisb,track,type,version,Closest Airport Name,Closest Airport Code,Closest Distance (nm),Matched Base
0.0,ground,25.0,,A2,1.0,none,C2702   ,10.2,,ae2126,38.669037,-121.39872,11605140.0,[],10.0,1.0,,,,8.0,,2702.0,186.0,-17.6,2.0,0.4,0.36,3.0,perhour,0.0,1200.0,C27J,[],,adsb_icao,2.0,McClellan Airfield,KMCC,0.14,True
0.0,ground,,6.0,A0,1.0,,C2714   ,84.0,,ae4cf7,38.657509,-121.380852,15474260.0,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0.0,,2714.0,0.0,-15.1,,2.1,5.05,,,0.0,1200.0,C27J,[],125.0,mlat,0.0,McClellan Airfield,KMCC,1.12,True
0.0,25000,26400.0,64.0,A3,1.0,none,C2012   ,340.6,2.0,ae5deb,35.950432,-84.721245,6960357.0,[],10.0,1.0,,,,8.0,1.0,2012.0,186.0,-10.1,2.0,0.1,0.11,3.0,perhour,0.0,5710.0,C30J,[],93.53,adsb_icao,2.0,Merian Seaplane Base,3TN2,9.4,False
0.0,ground,-75.0,,A7,1.0,none,C6542   ,5.8,2.0,ae2683,38.845722,-77.045525,6179017.0,[],11.0,1.0,,,,9.0,1.0,6542.0,75.0,-19.2,2.0,0.6,0.62,3.0,perhour,0.0,5145.0,AS65,[],236.31,adsb_icao,2.0,Ronald Reagan Washington National Airport,KDCA,0.53,True
0.0,-100,25.0,,A7,1.0,none,C6533   ,18.0,2.0,ae267b,38.846867,-77.04425,4195859.0,[],11.0,1.0,,,,10.0,1.0,6533.0,25.0,-11.1,2.0,0.3,0.63,3.0,perhour,0.0,5145.0,AS65,[],213.69,adsb_icao,2.0,Ronald Reagan Washington National Airport,KDCA,0.44,True
0.0,ground,25.0,,A7,1.0,none,C6511   ,12.2,2.0,ae2665,39.449696,-74.563148,2913960.0,[],11.0,1.0,,,,10.0,1.0,6511.0,25.0,-13.7,2.0,0.5,0.45,3.0,perhour,0.0,1154.0,AS65,[],108.43,adsb_icao,2.0,Atlantic City International Airport,KACY,0.81,True
0.0,18325,18525.0,,A3,1.0,none,C2010   ,317.6,2.0,ae57d4,57.405853,-154.671707,12451579.0,[],10.0,2.0,8000.0,53.44,1012.8,10.0,1.0,2010.0,25.0,-13.1,2.0,0.0,0.04,3.0,perhour,0.0,5256.0,C30J,[],68.77,adsb_icao,2.0,Karluk Airport,PAKY,11.94,False
0.0,1325,1450.0,-128.0,A2,1.0,none,C2317   ,151.0,2.0,ae4bf1,25.866657,-80.577637,8213352.0,[],10.0,1.0,1504.0,87.19,1020.0,8.0,1.0,2317.0,186.0,-16.3,3.0,0.4,0.4,3.0,perhour,0.0,4426.0,CN35,[],73.85,adsb_icao,2.0,Miami-Opa Locka Executive Airport,KOPF,16.37,True
0.0,350,450.0,,A7,1.0,none,C6582   ,97.3,2.0,ae26a8,25.905396,-80.137901,5862528.0,[],11.0,1.0,,,,10.0,1.0,6582.0,25.0,-12.9,2.0,0.2,0.18,3.0,perhour,0.0,4425.0,AS65,[],274.71,adsb_icao,2.0,Miami-Opa Locka Executive Airport,KOPF,7.6,True
0.0,250,275.0,,A7,1.0,none,C6605   ,63.1,2.0,ae26bc,39.458794,-74.563843,4836216.0,[],11.0,1.0,,,,10.0,1.0,6605.0,25.0,-2.7,2.0,0.4,0.93,3.0,perhour,0.0,4434.0,AS65,[],176.37,adsb_icao,2.0,Atlantic City International Airport,KACY,0.62,True
