alert,alt_baro,alt_geom,baro_rate,base,callsign,callsignAbbr,category,companyCode,dbFlags,emergency,flight,gs,gva,hex,hexCode,icao,lastAirport,lastAirports,lastDistance,lastLat,lastLon,lastSeenDate,lat,lon,messages,mlat,nac_p,nac_v,nav_altitude_mcp,nav_heading,nav_qnh,nic,nic_baro,notes,operator,r,rc,rssi,sda,seen,seen_pos,sil,sil_type,source,spi,squawk,t,tailNumber,tisb,track,type,version
0,20000,20325,-64,ZZZZ,C2702,C2702,A2,0,1,none,C2702   ,242.2,2,ae2126,AE2126,C27,ZZZZ,,0,0.0,0.0,,35.315094,-119.285088,8498065,[],10,1,20000,2.11,1013.6,8,1,,US Coast Guard,2702,186,-9.1,2,0,0.1,3,perhour,,0,7252,C27J,C2702,[],330.58,adsb_icao,2
0,23000,,0,ZZZZ,C2714,C2714,A0,0,1,,C2714   ,296,,ae4cf7,AE4CF7,C27,ZZZZ,,0,0.0,0.0,,35.616486,-118.916954,12262518,"['gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,,US Coast Guard,2714,0,-11.3,,0.4,3.29,,,,0,3773,C27J,C2714,[],149,mlat,0
