alert,alt_baro,alt_geom,baro_rate,category,dbFlags,emergency,flight,gs,gva,hex,lat,lon,messages,mlat,nac_p,nac_v,nav_altitude_mcp,nav_heading,nav_qnh,nic,nic_baro,r,rc,rssi,sda,seen,seen_pos,sil,sil_type,spi,squawk,t,tisb,track,type,version
,ground,,,A2,1,none,C2702   ,9.2,,ae2126,38.677261,-121.396408,20112441,[],10,1,,,,8,,2702,186,-15.7,2,1.3,2.03,3,perhour,,1200,C27J,[],,adsb_icao,2
0,7850,,21,A0,1,,C2714   ,141,,ae4cf7,43.918552,-103.400993,18216431,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2714,0,-10.1,,1,2.82,,,0,6352,C27J,[],210,mlat,0
0,25000,26400,64,A3,1,none,C2012   ,340.6,2,ae5deb,35.950432,-84.721245,6960357,[],10,1,,,,8,1,2012,186,-10.1,2,0.1,0.11,3,perhour,0,5710,C30J,[],93.53,adsb_icao,2
0,325,475,,A7,1,none,C6542   ,109,2,ae2683,38.799683,-76.87056,8052641,[],11,1,,,,10,1,6542,25,-12.8,2,0.2,0.17,3,perhour,0,5147,AS65,[],359.47,adsb_icao,2
0,400,625,,A7,1,none,C6533   ,126.9,2,ae267b,39.289719,-74.758018,6676188,[],11,1,,,,10,1,6533,25,-19.6,2,2.5,2.63,3,perhour,0,4440,AS65,[],30.81,adsb_icao,2
0,675,675,,A7,1,none,C6511   ,128.2,2,ae2665,39.435101,-74.519775,4789933,[],11,1,,,,8,1,6511,186,-8.1,2,0.7,0.78,3,perhour,0,4436,AS65,[],292.96,adsb_icao,2
,ground,,,A3,1,none,C2010   ,10.2,,ae57d4,57.750664,-152.496063,13669216,[],10,2,,,,10,,2010,25,-11.8,2,0.2,0.17,3,perhour,,1200,C30J,[],,adsb_icao,2
0,1550,1525,,A2,1,none,C2317   ,162.2,2,ae4bf1,25.613321,-79.976738,10770445,[],10,1,,,,8,1,2317,186,-9.3,3,0.3,0.32,3,perhour,0,4425,CN35,[],177.17,adsb_icao,2
0,625,475,0,A7,1,none,C6582   ,89.2,2,ae26a8,25.910231,-80.194862,6743496,[],11,1,,,,10,1,6582,25,-10.9,2,0.1,0.1,3,perhour,0,4426,AS65,['baro_rate'],266.14,adsb_icao,2
0,-25,275,,A7,1,none,C6605   ,54.1,2,ae26bc,39.445724,-74.544624,5359803,[],11,1,,,,10,1,6605,25,-11.5,2,1.3,1.26,3,perhour,0,4432,AS65,[],115.14,adsb_icao,2
0,1475,1475,1088,A2,1,none,C2312   ,126.2,2,ae270a,30.340256,-89.436249,14211954,[],11,1,2496,357.89,1013.6,8,1,2312,186,-6.2,3,0.1,0.12,3,perhour,0,0363,CN35,[],56.31,adsb_icao,2
0,300,425,,A7,1,none,C6516   ,131.3,2,ae266a,31.811829,-81.187973,5535873,[],11,1,,,,10,1,6516,25,-14.4,2,0,0.11,3,perhour,0,1200,AS65,[],16.36,adsb_icao,2
0,-50,-50,,A7,1,,C6584   ,6.1,2,ae26aa,29.649166,-94.979073,7708445,[],11,1,,,,8,1,6584,186,-25.1,2,3.3,3.29,3,perhour,0,,AS65,[],170.54,adsb_icao,2
0,1225,1325,,A7,1,none,C6059   ,104.3,2,ae6ced,44.71524,-85.681099,3278632,[],11,1,,,,10,1,6059,25,-14.4,2,0.3,0.26,3,perhour,0,1200,H60,[],14.44,adsb_icao,2
0,525,600,64,A7,1,none,C6527   ,60,2,ae2675,42.620499,-82.840538,8246940,[],11,1,,,,10,1,6527,25,-19.8,2,0,3.05,3,perhour,0,,AS65,['baro_rate'],180,adsb_icao,2
0,600,500,,A7,1,none,C6579   ,124.6,2,ae26a5,25.86676,-80.421684,6813877,[],11,1,,,,9,1,6579,75,-7.7,2,0.2,0.4,3,perhour,0,4423,AS65,[],17.27,adsb_icao,2
0,550,450,,A7,1,none,C6052   ,95.3,2,ae4e04,36.868813,-76.155731,3737544,[],11,1,,,,10,1,6052,25,-17.7,2,0.1,0.14,3,perhour,0,1200,H60,[],24.15,adsb_icao,2
,50,200,-190,A7,1,,C6553   ,12,,ae268b,27.78154,-97.511269,5099505,[],,,,,,0,,6553,0,-49.5,,0.3,0.34,,,,,AS65,[],135,other,2
0,ground,-25,,A7,1,none,C6525   ,5.2,,ae2673,30.219498,-81.890327,3530828,[],11,1,,,,8,,6525,186,-28.2,2,26.2,26.15,3,perhour,0,1200,AS65,[],,adsb_icao,2
,,,,A7,1,,,134.9,,ae2915,,,998223,[],,1,,,,,,6038,,-27.4,,35.6,,,,,,H60,[],346.27,mode_s,0
0,75,-50,-320,A7,1,none,C6565   ,14.3,2,ae2697,32.022537,-81.138428,4991548,[],11,1,,,,9,1,6565,75,-19.2,2,5.8,5.81,3,perhour,0,1200,AS65,[],12.09,adsb_icao,2
0,ground,-25,,A7,1,none,C6606   ,12.2,2,ae26bd,39.453003,-74.563675,8204750,[],11,1,,,,10,1,6606,25,-2.3,2,1.8,1.78,3,perhour,0,4433,AS65,[],296.57,adsb_icao,2
,3000,,0,,1,,,176,,ae223f,27.9697,-97.426498,11715557,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2308,0,-16.6,,1.2,1.4,,,,4422,CN35,[],13,mlat,
0,-25,0,,A7,1,none,C6041   ,41.2,2,ae2918,29.820236,-90.030159,5709112,[],11,1,,,,9,1,6041,75,-20.1,2,9.1,11.62,3,perhour,0,1200,H60,[],140.91,adsb_icao,2
0,4925,5175,,A7,1,none,C6029   ,154.4,2,ae290c,36.037537,-76.677933,2590214,[],10,1,,,,10,1,6029,25,-15.7,2,0.7,0.66,3,perhour,0,2675,H60,[],60.95,adsb_icao,2
0,9200,9800,,A3,1,none,C2008   ,215.8,2,ae57d2,36.514389,-76.684685,10534429,[],10,2,,137.11,1024,10,1,2008,25,-9.9,2,0.5,0.52,3,perhour,0,5316,C30J,[],136.69,adsb_icao,2
0,625,575,,A7,1,none,C6570   ,134.7,2,ae269c,29.571899,-95.020859,6605322,[],11,1,,,,10,1,6570,25,-9.3,2,0,0,3,perhour,0,5373,AS65,[],245.91,adsb_icao,2
0,1125,1200,,A7,1,,,112.6,2,ae26ab,30.432587,-88.214828,2552299,[],11,1,,,,8,1,6585,186,-27.2,2,7.3,7.26,3,perhour,0,,AS65,[],343.5,adsb_icao,2
0,500,575,,A7,1,none,C6595   ,75.3,2,ae26b5,29.952641,-81.316299,3586660,[],11,1,,,,9,1,6595,75,-17,2,0.1,0.1,3,perhour,0,1200,AS65,[],340.6,adsb_icao,2
0,275,250,,A7,1,none,C6063   ,58.1,2,af8434,46.160614,-123.893021,3188135,[],11,1,,,,10,1,6063,25,-3.3,2,1.1,2.63,3,perhour,0,1200,H60,[],92.96,adsb_icao,2
0,575,425,318,A7,1,none,C6559   ,123.3,2,ae2691,37.628174,-122.337418,15553712,[],11,1,,,,10,1,6559,25,-12.2,2,0.1,0.27,3,perhour,0,0354,AS65,[],274.18,adsb_icao,2
0,3050,3000,-511,A7,1,none,C6531   ,135.8,2,ae2679,37.444805,-122.324348,15259077,[],10,1,,,,9,1,6531,75,-15.7,2,0.1,0.06,3,perhour,0,1200,AS65,[],346.37,adsb_icao,2
0,500,525,,A7,1,none,C6512   ,59.9,2,ae2666,30.681793,-88.24321,3321743,[],11,1,,,,10,1,6512,25,-21.1,2,0,0,3,perhour,0,0346,AS65,[],14.5,adsb_icao,2
0,150,175,,A7,1,none,C6056   ,72.1,2,ae6ceb,32.718475,-117.177872,14695834,[],11,1,,,,10,1,6056,25,-9.1,2,0,0.02,3,perhour,0,1200,H60,[],60.95,adsb_icao,2
0,1075,950,-64,A2,1,none,C2304   ,190.2,2,ae223b,25.827209,-80.099129,6691316,[],10,1,992,,1010.4,8,1,2304,186,-17.6,3,0.2,0.17,3,perhour,0,4426,CN35,[],8.77,adsb_icao,2
0,200,400,,A7,1,,C6569   ,87,2,ae269b,48.158195,-123.61422,6806541,[],11,1,,,,9,1,6569,75,-11.1,2,6.1,6.12,3,perhour,0,,AS65,[],98.6,adsb_icao,2
0,275,375,,A7,1,none,C6561   ,68,2,ae2693,32.079254,-81.070587,4328275,[],11,1,,,,9,1,6561,75,-4.1,2,0,0.01,3,perhour,0,1200,AS65,[],88.32,adsb_icao,2
0,4875,4900,,A7,1,none,C6608   ,137.4,2,ae26bf,40.884781,-123.984024,5751218,[],11,1,,,,10,1,6608,25,-10.8,2,0.2,0.17,3,perhour,0,4422,AS65,[],265.83,adsb_icao,2
0,2000,1900,-576,A7,1,none,C6592   ,91.2,2,ae26b2,48.13171,-123.190399,7536377,[],11,1,,,,10,1,6592,25,-8.4,2,0.8,1.01,3,perhour,0,4536,AS65,['baro_rate'],273.77,adsb_icao,2
0,1200,1275,-448,A7,1,none,C6049   ,84.4,2,ae4e01,30.746031,-88.290634,3566707,[],11,1,,,,9,1,6049,75,-27.9,2,0.6,0.58,3,perhour,0,2514,H60,[],148.57,adsb_icao,2
0,575,425,,A7,1,none,C6547   ,101.8,2,ae2686,41.041012,-124.136459,5908944,[],11,1,,,,9,1,6547,75,-26.9,2,0.4,0.42,3,perhour,0,4420,AS65,[],160.5,adsb_icao,2
0,1200,1025,,A7,1,none,C6588   ,87,2,ae26ae,42.712284,-82.591637,7809377,[],11,1,,,,10,1,6588,25,-2.5,2,0.6,1.17,3,perhour,0,4422,AS65,[],210.4,adsb_icao,2
0,5550,,-921,A0,1,,C2707   ,198,,ae4adf,36.259235,-76.333153,9817449,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2707,0,-11,,0.3,1.46,,,0,0226,C27J,[],249,mlat,0
0,550,550,,A7,1,none,C6039   ,121.3,2,ae2916,27.906485,-82.749336,4553111,[],11,1,,,,9,1,6039,75,-3.7,2,0.1,0.33,3,perhour,0,0150,H60,[],86.22,adsb_icao,2
0,1550,1575,384,A7,1,,C6517   ,87.8,,ae266b,43.534927,-123.832588,1106689,[],0,0,,,,0,,6517,0,-13.5,,0.4,0.4,0,perhour,0,,AS65,"['callsign', 'altitude', 'alt_geom', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",194.51,tisb_icao,
0,525,725,,A7,1,none,C6575   ,106,2,ae26a1,38.592407,-77.151848,6064176,[],11,1,,,,10,1,6575,25,-15.3,2,0.1,0.52,3,perhour,0,5147,AS65,[],295.11,adsb_icao,2
0,500,350,,A7,1,none,C6572   ,74.5,2,ae269e,30.660049,-88.21489,3152593,[],10,1,,,,9,1,6572,75,-24,2,0.1,0.76,3,perhour,0,1200,AS65,[],165.22,adsb_icao,2
0,1575,,-68,,1,,C2303   ,90,,ae223a,25.908684,-80.386047,10659868,"['callsign', 'gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2303,0,-7.9,,0,0.85,,,0,4427,CN35,[],102,mlat,
,25,250,-446,A7,1,,C6563   ,34,,ae2695,27.78021,-97.511848,5262374,[],,,,,,0,,6563,0,-49.5,,0.1,0.11,,,,,AS65,[],66,other,2
0,-25,25,,A7,1,none,C6506   ,21.2,2,ae2660,39.30423,-74.558121,5125705,[],11,1,,,,10,1,6506,25,-18.3,2,0.2,0.51,3,perhour,0,4446,AS65,[],199.29,adsb_icao,2
0,575,425,,A3,1,none,C2016   ,144.9,2,ae5def,36.259827,-76.152992,16654791,[],10,2,,91.41,1012,10,1,2016,25,-6,2,1.3,2.46,3,perhour,0,5361,C30J,[],101.54,adsb_icao,2
0,25,200,,A7,1,none,C6530   ,58.2,2,ae2678,33.823879,-78.626976,4447369,[],11,1,,,,9,1,6530,75,-13.7,2,0,0,3,perhour,0,1200,AS65,[],175.07,adsb_icao,2
0,125,,0,,1,,C6562   ,129,,ae2694,32.650436,-117.225494,14957066,"['callsign', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,6562,0,-7.2,,0.8,0.84,,,0,1200,AS65,[],10,mlat,
0,3975,,0,,1,,,173,,ae223d,27.714733,-97.575211,9073188,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2306,0,-13.9,,0,1.71,,,0,0166,CN35,[],319,mlat,
0,1050,925,,A7,1,none,C6603   ,83.5,2,ae26ba,40.998047,-124.051941,5643743,[],11,1,,,,9,1,6603,75,-12.4,2,0.7,0.65,3,perhour,0,4421,AS65,[],238.21,adsb_icao,2
,,,-640,A2,1,,C2706   ,139.2,,ae2731,,,20335527,[],10,1,3040,305.16,1016.8,,1,2706,,-17.8,,21.7,,3,perhour,,,C27J,[],17.13,mode_s,0
0,350,475,-640,A7,1,none,C6507   ,76.8,2,ae2661,21.307297,-158.071335,5440248,[],11,1,,,,10,1,6507,25,-5.9,2,0.7,0.67,3,perhour,0,1200,AS65,['baro_rate'],55.07,adsb_icao,2
0,8300,8450,,A3,1,none,C101    ,271.7,2,ae10c1,44.366749,-105.621689,13697559,[],10,1,,,,8,1,01,186,-3.1,2,1.8,1.83,3,perhour,0,0565,GLF5,[],355.99,adsb_icao,2
0,875,1125,,A7,1,none,C6023   ,76.1,2,ae2907,41.552261,-70.545959,8681311,[],11,1,,,,10,1,6023,25,-16.8,2,0.7,0.67,3,perhour,0,1200,H60,[],87.74,adsb_icao,2
0,2425,,151,,1,,C102    ,264,,ae109a,33.069935,-96.128204,9552136,"['callsign', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,02,0,-8.1,,0.3,1.99,,,0,1200,GLF5,[],191,mlat,
0,1575,1475,-64,A2,1,none,C2316   ,174,2,ae4bf0,24.544436,-81.456215,10486251,[],10,1,1504,63.98,1011.2,8,1,2316,186,-8.6,3,0.2,0.39,3,perhour,0,4425,CN35,[],63.73,adsb_icao,2
0,1325,1575,576,A2,1,none,C2302   ,143.8,2,ae2238,41.631664,-70.515747,13957028,[],10,1,1600,25.31,1025.6,8,1,2302,186,-11.6,3,0.4,0.75,3,perhour,0,4420,CN35,['geom_rate'],78.77,adsb_icao,2
0,725,650,64,A7,1,none,C6573   ,125,2,ae269f,26.161613,-81.578819,7053009,[],11,1,,,,10,1,6573,25,-5.3,2,0.1,0.14,3,perhour,0,4424,AS65,['baro_rate'],102.48,adsb_icao,2
0,ground,3150,-576,A2,1,none,C2310   ,5.8,,ae2708,44.043297,-103.058319,12618505,[],10,1,6016,151.88,1011.2,8,1,2310,186,-3.2,3,0.7,0.67,3,perhour,0,4062,CN35,[],151.84,adsb_icao,2
0,1050,975,,A7,1,none,C6597   ,135.3,2,ae26b7,30.121161,-81.674065,3516630,[],11,1,,,,10,1,6597,25,-3.1,2,0,0.03,3,perhour,0,1200,AS65,[],278.07,adsb_icao,2
,ground,,,A7,1,none,C6520   ,91,,ae266e,30.132252,-81.847694,3872798,[],11,1,,,,10,,6520,25,-8.8,2,1.3,1.26,3,perhour,,1200,AS65,[],,adsb_icao,2
0,1250,1500,,A3,1,none,C2017   ,160.6,2,ae5df0,36.215195,-76.133766,11834078,[],10,2,,331.88,1024.8,10,1,2017,25,-5.6,2,0,0.03,3,perhour,0,1200,C30J,[],245.35,adsb_icao,2
0,500,450,-128,A3,1,none,C2013   ,183.5,2,ae5dec,28.223694,-82.835327,15264506,[],10,1,,,,8,1,2013,186,-21.1,2,0.2,0.2,3,perhour,0,1200,C30J,[],121.18,adsb_icao,2
