alert,alt_baro,alt_geom,baro_rate,category,dbFlags,emergency,flight,gs,gva,hex,lat,lon,messages,mlat,nac_p,nac_v,nav_altitude_mcp,nav_heading,nav_qnh,nic,nic_baro,r,rc,rssi,sda,seen,seen_pos,sil,sil_type,spi,squawk,t,tisb,track,type,version
,ground,,,A2,1,none,C2702   ,9.2,,ae2126,38.677261,-121.396408,20112441,[],10,1,,,,8,,2702,186,-15.7,2,1.3,2.03,3,perhour,,1200,C27J,[],,adsb_icao,2
0,7975,,75,A0,1,,C2714   ,267,,ae4cf7,28.322754,-97.939758,18518763,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2714,0,-15.1,,0.5,0.7,,,0,4624,C27J,[],175,mlat,0
0,25000,26400,64,A3,1,none,C2012   ,340.6,2,ae5deb,35.950432,-84.721245,6960357,[],10,1,,,,8,1,2012,186,-10.1,2,0.1,0.11,3,perhour,0,5710,C30J,[],93.53,adsb_icao,2
0,325,475,,A7,1,none,C6542   ,109,2,ae2683,38.799683,-76.87056,8052641,[],11,1,,,,10,1,6542,25,-12.8,2,0.2,0.17,3,perhour,0,5147,AS65,[],359.47,adsb_icao,2
0,2050,2375,,A7,1,none,C6533   ,121.9,2,ae267b,39.35014,-74.695496,6790831,[],11,1,,,,10,1,6533,25,-9.7,2,0.2,0.25,3,perhour,0,4440,AS65,[],293.2,adsb_icao,2
0,1350,1700,320,A7,1,none,C6511   ,81.2,2,ae2665,39.166866,-77.891296,5097942,[],11,1,,,,10,1,6511,25,-8.6,2,0.2,1.18,3,perhour,0,5147,AS65,['baro_rate'],52,adsb_icao,2
,ground,,,A3,1,none,C2010   ,16.5,,ae57d4,57.740356,-152.494354,13726533,[],10,2,,,,10,,2010,25,-16,2,8.8,14.11,3,perhour,,1200,C30J,[],0,adsb_icao,2
0,550,400,,A2,1,none,C2317   ,174.6,2,ae4bf1,25.371483,-80.234085,10970707,[],10,1,,,,8,1,2317,186,-18.5,3,0.3,0.53,3,perhour,0,4422,CN35,[],196.98,adsb_icao,2
0,425,400,,A7,1,none,C6582   ,102.2,2,ae26a8,25.909424,-80.226158,6871552,[],11,1,,,,10,1,6582,25,-14.6,2,0.7,0.68,3,perhour,0,4423,AS65,[],273.37,adsb_icao,2
0,-25,275,,A7,1,none,C6605   ,54.1,2,ae26bc,39.445724,-74.544624,5359803,[],11,1,,,,10,1,6605,25,-11.5,2,1.3,1.26,3,perhour,0,4432,AS65,[],115.14,adsb_icao,2
