alert,alt_baro,alt_geom,baro_rate,category,dbFlags,emergency,flight,gs,gva,hex,lat,lon,messages,mlat,nac_p,nac_v,nav_altitude_mcp,nav_heading,nav_qnh,nic,nic_baro,r,rc,rssi,sda,seen,seen_pos,sil,sil_type,spi,squawk,t,tisb,track,type,version
,ground,,,A2,1,none,C2702   ,9.2,,ae2126,38.677261,-121.396408,20112441,[],10,1,,,,8,,2702,186,-15.7,2,1.3,2.03,3,perhour,,1200,C27J,[],,adsb_icao,2
0,ground,,-345,A0,1,,C2714   ,137,,ae4cf7,38.667713,-121.398453,18172689,"['gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2714,0,-11.6,,0.4,14.35,,,0,0346,C27J,[],168,mlat,0
0,25000,26400,64,A3,1,none,C2012   ,340.6,2,ae5deb,35.950432,-84.721245,6960357,[],10,1,,,,8,1,2012,186,-10.1,2,0.1,0.11,3,perhour,0,5710,C30J,[],93.53,adsb_icao,2
0,325,475,,A7,1,none,C6542   ,109,2,ae2683,38.799683,-76.87056,8052641,[],11,1,,,,10,1,6542,25,-12.8,2,0.2,0.17,3,perhour,0,5147,AS65,[],359.47,adsb_icao,2
0,125,250,,A7,1,none,C6533   ,94.8,2,ae267b,39.442795,-74.561462,6462192,[],11,1,,,,10,1,6533,25,-4.5,2,0.2,0.5,3,perhour,0,0142,AS65,[],44.14,adsb_icao,2
0,875,1050,,A7,1,none,C6511   ,92.6,2,ae2665,39.402885,-74.61731,4702546,[],11,1,,,,10,1,6511,25,-13.2,2,0.2,0.2,3,perhour,0,0141,AS65,[],27.67,adsb_icao,2
,ground,,,A3,1,none,C2010   ,11.8,,ae57d4,57.750664,-152.496063,13660140,[],10,2,,,,10,,2010,25,-12.7,2,0.3,1.01,3,perhour,,1200,C30J,[],,adsb_icao,2
0,4600,4625,0,A2,1,none,C2317   ,138.7,2,ae4bf1,25.932404,-80.903893,10464938,[],10,1,,,,8,1,2317,186,-13.5,3,0.1,0.53,3,perhour,0,4424,CN35,['baro_rate'],281.23,adsb_icao,2
0,175,50,,A7,1,none,C6582   ,53.2,2,ae26a8,25.898849,-80.290939,6694604,[],11,1,,,,10,1,6582,25,-7.3,2,1,0.95,3,perhour,0,4422,AS65,[],85.68,adsb_icao,2
0,-25,275,,A7,1,none,C6605   ,54.1,2,ae26bc,39.445724,-74.544624,5359803,[],11,1,,,,10,1,6605,25,-11.5,2,1.3,1.26,3,perhour,0,4432,AS65,[],115.14,adsb_icao,2
0,2925,2975,0,A2,1,none,C2312   ,164.3,2,ae270a,30.747665,-88.362877,14162784,[],10,1,3008,,1016,8,1,2312,186,-21.2,3,0.3,0.29,3,perhour,0,3266,CN35,[],318.45,adsb_icao,2
0,275,175,,A7,1,none,C6516   ,73.6,2,ae266a,32.010681,-81.171555,5441102,[],11,1,,,,10,1,6516,25,-23.3,2,1.4,1.37,3,perhour,0,1200,AS65,[],262.97,adsb_icao,2
0,-50,-50,,A7,1,,C6584   ,6.1,2,ae26aa,29.649166,-94.979073,7708445,[],11,1,,,,8,1,6584,186,-25.1,2,3.3,3.29,3,perhour,0,,AS65,[],170.54,adsb_icao,2
0,1225,1325,,A7,1,none,C6059   ,104.3,2,ae6ced,44.71524,-85.681099,3278632,[],11,1,,,,10,1,6059,25,-14.4,2,0.3,0.26,3,perhour,0,1200,H60,[],14.44,adsb_icao,2
0,1325,1500,,A7,1,none,C6527   ,89.2,2,ae2675,42.693012,-82.878365,7986379,[],11,1,,,,10,1,6527,25,-16.2,2,0.1,0.48,3,perhour,0,4421,AS65,[],149.7,adsb_icao,2
0,600,500,,A7,1,none,C6579   ,124.6,2,ae26a5,25.86676,-80.421684,6813877,[],11,1,,,,9,1,6579,75,-7.7,2,0.2,0.4,3,perhour,0,4423,AS65,[],17.27,adsb_icao,2
0,-25,25,,A7,1,none,C6052   ,15,2,ae4e04,36.261337,-76.184067,3727856,[],11,1,,,,10,1,6052,25,-7.9,2,32.2,43.87,3,perhour,0,1200,H60,[],90,adsb_icao,2
,50,200,-190,A7,1,,C6553   ,12,,ae268b,27.78154,-97.511269,5099505,[],,,,,,0,,6553,0,-49.5,,0.3,0.34,,,,,AS65,[],135,other,2
0,ground,-25,,A7,1,none,C6525   ,5.2,,ae2673,30.219498,-81.890327,3530828,[],11,1,,,,8,,6525,186,-28.2,2,26.2,26.15,3,perhour,0,1200,AS65,[],,adsb_icao,2
,,,,A7,1,,,134.9,,ae2915,,,998223,[],,1,,,,,,6038,,-27.4,,35.6,,,,,,H60,[],346.27,mode_s,0
0,ground,-75,,A7,1,,C6565   ,10.8,,ae2697,32.021839,-81.138496,4974325,[],,1,,,,9,,6565,75,-18.5,,18.4,18.4,,,0,,AS65,[],8.13,adsb_icao,2
0,500,575,0,A7,1,none,C6606   ,55.4,2,ae26bd,39.240463,-74.597656,7947287,[],11,1,,,,9,1,6606,75,-13.1,2,0,0.89,3,perhour,0,4433,AS65,['baro_rate'],50.86,adsb_icao,2
0,4975,,0,,1,,,196,,ae223f,27.495407,-97.487289,11701086,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2308,0,-17.5,,0,5.94,,,0,4422,CN35,[],345,mlat,
0,400,400,,A7,1,none,C6041   ,109.1,2,ae2918,29.803436,-90.01442,5643770,[],11,1,,,,10,1,6041,25,-3.6,2,0.3,0.26,3,perhour,0,1200,H60,[],340.73,adsb_icao,2
0,4925,5175,,A7,1,none,C6029   ,154.4,2,ae290c,36.037537,-76.677933,2590214,[],10,1,,,,10,1,6029,25,-15.7,2,0.7,0.66,3,perhour,0,2675,H60,[],60.95,adsb_icao,2
0,9200,9800,,A3,1,none,C2008   ,215.8,2,ae57d2,36.514389,-76.684685,10534429,[],10,2,,137.11,1024,10,1,2008,25,-9.9,2,0.5,0.52,3,perhour,0,5316,C30J,[],136.69,adsb_icao,2
0,375,425,-64,A7,1,none,C6570   ,100.4,2,ae269c,29.700027,-95.292717,6487398,[],11,1,,,,10,1,6570,25,-6.6,2,0.5,0.47,3,perhour,0,5366,AS65,['baro_rate'],128.13,adsb_icao,2
0,1125,1200,,A7,1,,,112.6,2,ae26ab,30.432587,-88.214828,2552299,[],11,1,,,,8,1,6585,186,-27.2,2,7.3,7.26,3,perhour,0,,AS65,[],343.5,adsb_icao,2
0,-100,0,,A7,1,none,C6595   ,34,2,ae26b5,30.091042,-81.677582,3487723,[],11,1,,,,9,1,6595,75,-13.5,2,2.9,2.92,3,perhour,0,1200,AS65,[],358.32,adsb_icao,2
0,275,250,,A7,1,none,C6063   ,58.1,2,af8434,46.160614,-123.893021,3188135,[],11,1,,,,10,1,6063,25,-3.3,2,1.1,2.63,3,perhour,0,1200,H60,[],92.96,adsb_icao,2
0,200,125,,A7,1,none,C6559   ,69.4,2,ae2691,37.82914,-122.357002,15343141,[],11,1,,,,8,1,6559,186,-8.7,2,0.1,0.13,3,perhour,0,1200,AS65,[],155.28,adsb_icao,2
0,1025,950,-127,A7,1,none,C6531   ,123.2,2,ae2679,37.520218,-122.266846,14853951,[],11,1,,,,9,1,6531,75,-8.8,2,0,0.54,3,perhour,0,0326,AS65,[],317.63,adsb_icao,2
0,500,525,,A7,1,none,C6512   ,59.9,2,ae2666,30.681793,-88.24321,3321743,[],11,1,,,,10,1,6512,25,-21.1,2,0,0,3,perhour,0,0346,AS65,[],14.5,adsb_icao,2
0,150,175,,A7,1,none,C6056   ,72.1,2,ae6ceb,32.718475,-117.177872,14695834,[],11,1,,,,10,1,6056,25,-9.1,2,0,0.02,3,perhour,0,1200,H60,[],60.95,adsb_icao,2
0,1075,950,-64,A2,1,none,C2304   ,190.2,2,ae223b,25.827209,-80.099129,6691316,[],10,1,992,,1010.4,8,1,2304,186,-17.6,3,0.2,0.17,3,perhour,0,4426,CN35,[],8.77,adsb_icao,2
0,ground,-25,,A7,1,none,C6569   ,13.2,2,ae269b,48.14114,-123.410179,6683610,[],11,1,,,,10,1,6569,25,-2.4,2,0.4,0.4,3,perhour,0,1200,AS65,[],92.12,adsb_icao,2
0,275,375,,A7,1,none,C6561   ,68,2,ae2693,32.079254,-81.070587,4328275,[],11,1,,,,9,1,6561,75,-4.1,2,0,0.01,3,perhour,0,1200,AS65,[],88.32,adsb_icao,2
0,4875,4900,,A7,1,none,C6608   ,137.4,2,ae26bf,40.884781,-123.984024,5751218,[],11,1,,,,10,1,6608,25,-10.8,2,0.2,0.17,3,perhour,0,4422,AS65,[],265.83,adsb_icao,2
0,2000,1900,-576,A7,1,none,C6592   ,91.2,2,ae26b2,48.13171,-123.190399,7536377,[],11,1,,,,10,1,6592,25,-8.4,2,0.8,1.01,3,perhour,0,4536,AS65,['baro_rate'],273.77,adsb_icao,2
0,650,475,,A7,1,none,C6049   ,62.6,2,ae4e01,30.625259,-88.063713,3434392,[],11,1,,,,9,1,6049,75,-11.7,2,0.1,0.12,3,perhour,0,1200,H60,[],128.52,adsb_icao,2
0,450,375,,A7,1,none,C6547   ,102.2,2,ae2686,40.962067,-124.117188,5896753,[],11,1,,,,10,1,6547,25,-6.3,2,0.2,0.53,3,perhour,0,4420,AS65,[],30.58,adsb_icao,2
0,1200,1025,,A7,1,none,C6588   ,87,2,ae26ae,42.712284,-82.591637,7809377,[],11,1,,,,10,1,6588,25,-2.5,2,0.6,1.17,3,perhour,0,4422,AS65,[],210.4,adsb_icao,2
0,5550,,-921,A0,1,,C2707   ,198,,ae4adf,36.259235,-76.333153,9817449,"['gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2707,0,-11,,0.3,1.46,,,0,0226,C27J,[],249,mlat,0
0,550,550,,A7,1,none,C6039   ,121.3,2,ae2916,27.906485,-82.749336,4553111,[],11,1,,,,9,1,6039,75,-3.7,2,0.1,0.33,3,perhour,0,0150,H60,[],86.22,adsb_icao,2
0,1550,1575,384,A7,1,,C6517   ,87.8,,ae266b,43.534927,-123.832588,1106689,[],0,0,,,,0,,6517,0,-13.5,,0.4,0.4,0,perhour,0,,AS65,"['callsign', 'altitude', 'alt_geom', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",194.51,tisb_icao,
0,925,,-590,,1,,C6575   ,113,,ae26a1,38.820831,-76.870811,5996715,"['callsign', 'gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,6575,0,-7.6,,0.1,0.36,,,0,5145,AS65,[],280,mlat,
0,500,350,,A7,1,none,C6572   ,74.5,2,ae269e,30.660049,-88.21489,3152593,[],10,1,,,,9,1,6572,75,-24,2,0.1,0.76,3,perhour,0,1200,AS65,[],165.22,adsb_icao,2
0,1575,,-68,,1,,C2303   ,90,,ae223a,25.908684,-80.386047,10659868,"['callsign', 'gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2303,0,-7.9,,0,0.85,,,0,4427,CN35,[],102,mlat,
,25,250,-446,A7,1,,C6563   ,34,,ae2695,27.78021,-97.511848,5262374,[],,,,,,0,,6563,0,-49.5,,0.1,0.11,,,,,AS65,[],66,other,2
0,-25,25,,A7,1,none,C6506   ,21.2,2,ae2660,39.30423,-74.558121,5125705,[],11,1,,,,10,1,6506,25,-18.3,2,0.2,0.51,3,perhour,0,4446,AS65,[],199.29,adsb_icao,2
0,200,250,,A3,1,none,C2016   ,121,2,ae5def,36.261749,-76.203003,16616079,[],10,2,,348.05,1019.2,10,1,2016,25,-2.2,2,0.3,2.84,3,perhour,0,1200,C30J,[],90.95,adsb_icao,2
0,-25,-50,0,A7,1,,C6530   ,11.7,2,ae2678,32.023636,-81.139748,4387446,[],11,1,,,,10,1,6530,25,-19,2,0.8,0.75,3,perhour,0,1200,AS65,[],289.98,adsb_icao,2
0,125,,0,,1,,C6562   ,129,,ae2694,32.650436,-117.225494,14957066,"['callsign', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,6562,0,-7.2,,0.8,0.84,,,0,1200,AS65,[],10,mlat,
0,4075,4225,-704,A2,1,none,C2306   ,187.5,2,ae223d,27.880234,-97.475418,8922347,[],10,1,4000,316.41,1016.8,8,1,2306,186,-12.4,3,0.3,0.51,3,perhour,0,1436,CN35,[],137.38,adsb_icao,2
0,ground,150,,A7,1,none,C6603   ,6.8,2,ae26ba,40.975956,-124.111908,5597044,[],11,1,,,,9,1,6603,75,-9.9,2,5,4.97,3,perhour,0,4421,AS65,[],278.13,adsb_icao,2
0,3600,3750,-1472,A2,1,none,C2706   ,205.3,2,ae2731,31.234177,-92.373314,20261112,[],10,1,3008,357.89,1016,8,1,2706,186,-16.5,2,2.6,5.2,3,perhour,0,2161,C27J,[],302.06,adsb_icao,2
0,525,700,0,A7,1,none,C6507   ,111.6,2,ae2661,21.288757,-158.114059,5381232,[],10,1,,,,9,1,6507,75,-8.9,2,0.2,0.61,3,perhour,0,1200,AS65,['baro_rate'],120.7,adsb_icao,2
0,5350,5575,,A3,1,none,C101    ,209.7,2,ae10c1,39.023624,-77.224915,13596709,[],10,1,3008,,1022.4,8,1,01,186,-13.2,2,0.3,0.27,3,perhour,0,4123,GLF5,[],131.52,adsb_icao,2
0,875,1125,,A7,1,none,C6023   ,76.1,2,ae2907,41.552261,-70.545959,8681311,[],11,1,,,,10,1,6023,25,-16.8,2,0.7,0.67,3,perhour,0,1200,H60,[],87.74,adsb_icao,2
0,2425,,151,,1,,C102    ,264,,ae109a,33.069935,-96.128204,9552136,"['callsign', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,02,0,-8.1,,0.3,1.99,,,0,1200,GLF5,[],191,mlat,
0,2600,,0,,1,,C2316   ,190,,ae4bf0,25.263033,-80.130623,10363486,"['callsign', 'gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2316,0,-11.2,,0.8,2.31,,,0,4424,CN35,[],261,mlat,
0,2175,,0,,1,,00000000,172,,ae2238,42.549484,-72.402611,13552639,"['callsign', 'gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",,,,,,0,,2302,0,-19.5,,0.6,2.8,,,0,4420,CN35,[],320,mlat,
0,50,-75,,A7,1,none,C6573   ,38,2,ae269f,25.899124,-80.283424,6907513,[],11,1,,,,8,1,6573,186,-18.2,2,6.8,6.8,3,perhour,0,4423,AS65,[],90,adsb_icao,2
0,475,350,-576,A2,1,none,C2310   ,111.6,2,ae2708,30.676203,-88.232246,12481990,[],11,1,2016,324.14,1012.8,8,1,2310,186,-25.5,3,16.5,19.08,3,perhour,0,0354,CN35,[],323.75,adsb_icao,2
0,1050,975,,A7,1,none,C6597   ,135.3,2,ae26b7,30.121161,-81.674065,3516630,[],11,1,,,,10,1,6597,25,-3.1,2,0,0.03,3,perhour,0,1200,AS65,[],278.07,adsb_icao,2
,ground,,,A7,1,none,C6520   ,91,,ae266e,30.132252,-81.847694,3872798,[],11,1,,,,10,,6520,25,-8.8,2,1.3,1.26,3,perhour,,1200,AS65,[],,adsb_icao,2
0,75,125,,A3,1,none,C2017   ,115.2,2,ae5df0,36.261749,-76.19751,11292740,[],10,2,288,319.92,1019.2,10,1,2017,25,-2.3,2,0.9,2.48,3,perhour,0,5364,C30J,[],92.99,adsb_icao,2
0,500,450,-128,A3,1,none,C2013   ,183.5,2,ae5dec,28.223694,-82.835327,15264506,[],10,1,,,,8,1,2013,186,-21.1,2,0.2,0.2,3,perhour,0,1200,C30J,[],121.18,adsb_icao,2
0,700,475,,A7,1,none,C6587   ,121.7,2,ae26ad,48.195251,-123.314087,5714031,[],11,1,,,,10,1,6587,25,-4.9,2,0.7,0.66,3,perhour,0,1200,AS65,[],223.67,adsb_icao,2
